Training Set,Number of Words Removed,Percentage of Words Removed
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_10.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_17.txt,37,0.11422926121453258
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_14.txt,31,0.09570559723380256
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_14.txt,31,0.09570559723380256
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_9.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_4.txt,8,0.024698218640978098
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_(ratio)_5.txt,12,0.03704732796147425
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_12.txt,15,0.04630915995183216
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_9.txt,19,0.05865826927232831
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_8.txt,12,0.03704732796147425
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_1.txt,3,0.009261831990372116
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_19.txt,41,0.12657837053502874
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_4.txt,7,0.02161094131085406
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_14.txt,31,0.09570559723380256
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_13.txt,35,0.10805470655428451
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_20.txt,23,0.07100737859282447
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_11.txt,37,0.11422926121453258
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_3.txt,7,0.02161094131085406
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_6.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_19.txt,41,0.12657837053502874
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_9.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_1.txt,2,0.006174554660248077
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_4.txt,8,0.024698218640978098
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_17.txt,36,0.11114198388440855
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_11.txt,24,0.0740946559229485
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_16.txt,34,0.10496742922416047
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_6.txt,10,0.030872773301226175
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_13.txt,28,0.08644376524343045
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_8.txt,20,0.06174554660245235
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_7.txt,11,0.033960050631350214
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_(ratio)_18.txt,40,0.1234910932049047
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_8.txt,12,0.03704732796147425
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_6.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_7.txt,11,0.033960050631350214
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_6.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_7.txt,11,0.033960050631350214
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_14.txt,17,0.052483714612080234
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_2.txt,5,0.015436386650605982
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_14.txt,32,0.0987928745639266
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_5.txt,27,0.08335648791330641
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_17.txt,39,0.12040381587478066
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_5.txt,27,0.08335648791330641
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_20.txt,37,0.11422926121453258
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_19.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_2.txt,5,0.015436386650605982
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_18.txt,37,0.11422926121453258
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_19.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_19.txt,42,0.12966564786515278
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_15.txt,41,0.12657837053502874
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_(ratio)_11.txt,24,0.0740946559229485
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_15.txt,18,0.05557099194220427
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_17.txt,36,0.11114198388440855
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_(ratio)_19.txt,41,0.12657837053502874
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_(ratio)_8.txt,18,0.05557099194220427
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_5.txt,9,0.027785495971102137
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_12.txt,34,0.10496742922416047
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_7.txt,15,0.04630915995183216
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_7.txt,16,0.049396437281956196
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_4.txt,28,0.08644376524343045
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_12.txt,34,0.10496742922416047
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_1.txt,19,0.05865826927232831
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_14.txt,36,0.11114198388440855
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_5.txt,27,0.08335648791330641
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_15.txt,37,0.11422926121453258
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_19.txt,44,0.13584020252538664
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_16.txt,42,0.12966564786515278
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_5.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_2.txt,5,0.015436386650605982
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_18.txt,40,0.1234910932049047
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_17.txt,38,0.11731653854465662
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_1.txt,4,0.012349109320496154
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_5.txt,10,0.030872773301226175
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_10.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_12.txt,28,0.08644376524343045
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_12.txt,29,0.08953104257355449
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_11.txt,14,0.04322188262172233
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_(ratio)_17.txt,20,0.06174554660245235
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_13.txt,30,0.09261831990367853
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_11.txt,33,0.10188015189405064
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_10.txt,36,0.11114198388440855
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_10.txt,32,0.0987928745639266
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_6.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_10.txt,24,0.0740946559229485
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_12.txt,26,0.08026921058318237
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_19.txt,41,0.12657837053502874
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_16.txt,33,0.10188015189405064
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_13.txt,28,0.08644376524343045
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_19.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_11.txt,28,0.08644376524343045
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_11.txt,26,0.08026921058318237
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_10.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_16.txt,38,0.11731653854465662
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_17.txt,20,0.06174554660245235
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_18.txt,21,0.06483282393257639
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_16.txt,38,0.11731653854465662
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_6.txt,28,0.08644376524343045
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_3.txt,6,0.01852366398073002
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_3.txt,7,0.02161094131085406
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_13.txt,30,0.09261831990367853
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_8.txt,12,0.03704732796147425
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_7.txt,16,0.049396437281956196
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_2.txt,5,0.015436386650605982
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_3.txt,7,0.02161094131085406
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_13.txt,35,0.10805470655428451
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_5.txt,11,0.033960050631350214
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_9.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_3.txt,25,0.07718193325305833
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_15.txt,32,0.0987928745639266
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_(ratio)_13.txt,31,0.09570559723380256
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_11.txt,28,0.08644376524343045
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_18.txt,38,0.11731653854465662
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_9.txt,20,0.06174554660245235
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_20.txt,44,0.13584020252538664
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_1.txt,19,0.05865826927232831
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_9.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_12.txt,29,0.08953104257355449
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_12.txt,34,0.10496742922416047
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_10.txt,32,0.0987928745639266
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_5.txt,11,0.033960050631350214
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_1.txt,4,0.012349109320496154
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_vs_ironic_14.txt,36,0.11114198388440855
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_18.txt,40,0.1234910932049047
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_14.txt,40,0.1234910932049047
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_6.txt,32,0.0987928745639266
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_8.txt,30,0.09261831990367853
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_10.txt,23,0.07100737859282447
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_10.txt,23,0.07100737859282447
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_8.txt,16,0.049396437281956196
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_(ratio)_16.txt,38,0.11731653854465662
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_17.txt,39,0.12040381587478066
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_(ratio)_14.txt,32,0.0987928745639266
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_4.txt,9,0.027785495971102137
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_6.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_15.txt,18,0.05557099194220427
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_19.txt,40,0.1234910932049047
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_14.txt,30,0.09261831990367853
