Training Set,Number of Words Removed,Percentage of Words Removed
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_18.txt,195,0.5922731138379334
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_non_ironic_17.txt,43,0.13060381484631023
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_4.txt,26,0.07896974851172445
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_18.txt,1689,5.129996355242383
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_2.txt,46,0.13971570890535645
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_(ratio)_14.txt,56,0.17008868910217245
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_11.txt,24,0.07289515247235556
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_16.txt,34,0.10326813266917156
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_10.txt,30,0.091118940590448
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_2.txt,15,0.04555947029523111
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_non_ironic_4.txt,67,0.20349896731868
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_13.txt,28,0.08504434455109333
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_8.txt,17,0.05163406633458578
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_7.txt,29,0.08808164257077067
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_non_ironic_2.txt,8,0.024298384157447117
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_6.txt,24,0.07289515247235556
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_8.txt,12,0.036447576236184887
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_6.txt,13,0.03948487425586222
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_7.txt,11,0.03341027821649334
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_15.txt,185,0.5619001336411173
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_14.txt,17,0.05163406633458578
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_14.txt,31,0.09415623861012534
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_18.txt,106,0.32195359008625246
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_non_ironic_5.txt,27,0.08200704653140178
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_9.txt,879,2.669784959300202
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_5.txt,27,0.08200704653140178
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_20.txt,59,0.17920058316121867
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_19.txt,194,0.5892358158182418
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_20.txt,33,0.10023083464949423
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_12.txt,125,0.37966225246020713
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_14.txt,140,0.42522172275543824
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_2.txt,5,0.015186490098415106
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_non_ironic_14.txt,283,0.8595553395699227
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_18.txt,32,0.09719353662981689
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_20.txt,2419,7.347223909610008
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_non_ironic_18.txt,107,0.324990888105944
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_7.txt,29,0.08808164257077067
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_19.txt,41,0.12452921880695556
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_(ratio)_4.txt,40,0.12149192078726401
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_non_ironic_6.txt,89,0.2703195237516667
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_non_ironic_12.txt,54,0.16401409306281778
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_(ratio)_11.txt,82,0.2490584376138969
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_19.txt,41,0.12452921880695556
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_14.txt,45,0.1366784108856791
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_non_ironic_10.txt,89,0.2703195237516667
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_15.txt,41,0.12452921880695556
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_non_ironic_9.txt,51,0.15490219900377156
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_5.txt,74,0.22476005345644978
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_11.txt,1607,4.880937917628472
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_20.txt,209,0.6347952861134729
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_(ratio)_17.txt,223,0.6773174583890125
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_11.txt,127,0.385736848499576
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_(ratio)_1.txt,22,0.06682055643300089
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_(ratio)_12.txt,88,0.26728222573198934
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_12.txt,136,0.4130725306767147
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_4.txt,40,0.12149192078726401
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_17.txt,36,0.10934272870854045
